,robot_voltage,supply_voltage_2,torque_sensor_a_3,torque_sensor_b_6,torque_sensor_b_3,supply_voltage_5,io_current,torque_sensor_a_4,supply_voltage_3,torque_sensor_a_6,torque_sensor_b_4,brake_voltage_2,brake_voltage_3,power_load_mech_6,power_motor_el_1,supply_voltage_1,torque_sensor_b_5,torque_sensor_b_2,power_motor_mech_1,motor_iq_2
robot_voltage,0.0,0.0,0.00012520842142372664,0.0,6.163241847199833e-36,0.0,0.0,0.06000871210889564,0.0,0.0,1.3234702287993693e-69,8.25187350218485e-250,0.0,0.0,0.0,0.0,0.0,2.3666712873877657e-37,0.0,1.182233860343013e-50
supply_voltage_2,0.0,0.0,1.0517621966974905e-117,0.0,1.0560976771504407e-238,0.0,0.0,1.72032533856815e-12,0.0,2.3178630126028883e-258,2.9712954740702342e-05,0.0,8.557101378680877e-238,0.0,0.0,0.0,0.0,4.372342230691747e-24,0.0,0.0
torque_sensor_a_3,0.00012520842142372664,1.0517621966974905e-117,0.0,0.0,0.0,4.913255879392475e-12,6.061771732224472e-07,0.0,9.91580541401592e-59,0.0,0.0,0.9757384709221801,0.24829841217408247,0.0,3.636241932519385e-292,1.8509748531229425e-100,0.0,0.0,8.876027683693835e-140,0.0
torque_sensor_b_6,0.0,0.0,0.0,0.0,0.0,0.0,3.4777270849485394e-67,0.0,0.0,0.0,0.0,7.365395309066245e-17,4.8124532836456883e-17,6.093699887218857e-249,0.0,0.0,0.0,0.0,0.0,0.0
torque_sensor_b_3,6.163241847199833e-36,1.0560976771504407e-238,0.0,0.0,0.0,0.00016283654364840987,1.791984379051727e-05,0.0,7.023404034972702e-154,0.0,0.0,0.20513375869684367,0.002686311995637867,0.0,0.0,7.69531929308251e-224,0.0,0.0,0.0,0.0
supply_voltage_5,0.0,0.0,4.913255879392475e-12,0.0,0.00016283654364840987,0.0,0.0,3.936761562285571e-251,0.0,9.510409581223588e-169,1.3422797322933398e-145,1.6958895423103715e-306,0.0,0.0,0.0,0.0,0.0,5.74716268918915e-252,0.0,8.845690379430389e-07
io_current,0.0,0.0,6.061771732224472e-07,3.4777270849485394e-67,1.791984379051727e-05,0.0,0.0,1.4275139923644513e-15,0.0,2.46308960206912e-10,8.687390988509816e-11,0.35009208957436594,0.6079555043536479,0.0,0.0,0.0,3.0630346868908904e-44,1.6039744507457398e-34,0.0,1.851620048067074e-08
torque_sensor_a_4,0.06000871210889564,1.72032533856815e-12,0.0,0.0,0.0,3.936761562285571e-251,1.4275139923644513e-15,0.0,3.97328001427921e-34,0.0,0.0,0.026615881742353686,0.1607423305216968,0.0,0.0,1.2713541402577137e-47,0.0,0.0,0.0,0.0
supply_voltage_3,0.0,0.0,9.91580541401592e-59,0.0,7.023404034972702e-154,0.0,0.0,3.97328001427921e-34,0.0,5.3246666925964865e-135,0.0001913244256121324,0.0,0.0,0.0,0.0,0.0,0.0,5.1657009357505974e-52,0.0,3.155700066989669e-185
torque_sensor_a_6,0.0,2.3178630126028883e-258,0.0,0.0,0.0,9.510409581223588e-169,2.46308960206912e-10,0.0,5.3246666925964865e-135,0.0,0.0,2.3611348655836484e-11,4.027800969151361e-43,0.0,0.0,3.4076607359849175e-293,0.0,1.4806685730227657e-225,0.0,0.0
